model,model_id,blur_type,severity,image_id,true_label,raw_response,prediction,valid_response,correct,latency_seconds,cost_usd
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,90,airplane,airplane,airplane,1,1,0.813,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,74,airplane,truck,truck,1,0,1.402,0.0002845
grok,x-ai/grok-4.3,defocus_blur,1,90,airplane,airplane,airplane,1,1,0.577,9.215e-05
claude_opus,anthropic/claude-opus-5,defocus_blur,1,44,airplane,truck,truck,1,0,4.114,0.00113
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,90,airplane,airplane,airplane,1,1,1.192,0.00016
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,74,airplane,truck,truck,1,0,2.442,0.000202
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,90,airplane,airplane,airplane,1,1,1.372,0.000172
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,90,airplane,airplane,airplane,1,1,1.303,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,97,airplane,bird,bird,1,0,0.839,8.2e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,90,airplane,airplane,airplane,1,1,1.36,1.72e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,97,airplane,bird,bird,1,0,0.873,0.00016
kimi,moonshotai/kimi-k3,defocus_blur,1,74,airplane,truck,truck,1,0,2.221,0.00034485
claude_opus,anthropic/claude-opus-5,defocus_blur,1,52,airplane,airplane,airplane,1,1,4.014,0.001055
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,90,airplane,airplane,airplane,1,1,2.059,0.000212
grok,x-ai/grok-4.3,defocus_blur,1,97,airplane,bird,bird,1,0,0.655,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,97,airplane,ship,ship,1,0,1.058,1.6e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,98,airplane,airplane,airplane,1,1,0.796,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,97,airplane,airplane,airplane,1,1,1.209,0.0002845
kimi,moonshotai/kimi-k3,defocus_blur,1,90,airplane,airplane,airplane,1,1,2.12,0.00034485
claude_opus,anthropic/claude-opus-5,defocus_blur,1,74,airplane,truck,truck,1,0,3.781,0.00083
grok,x-ai/grok-4.3,defocus_blur,1,98,airplane,airplane,airplane,1,1,0.632,9.215e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,98,airplane,airplane,airplane,1,1,1.014,1.72e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,98,airplane,airplane,airplane,1,1,1.05,0.000172
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,97,airplane,airplane,airplane,1,1,2.403,0.000212
kimi,moonshotai/kimi-k3,defocus_blur,1,98,airplane,airplane,airplane,1,1,0.921,0.00034485
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,111,airplane,ship,ship,1,0,0.762,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,98,airplane,airplane,airplane,1,1,1.409,0.0002845
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,111,airplane,airplane,airplane,1,1,0.939,0.00016
grok,x-ai/grok-4.3,defocus_blur,1,111,airplane,ship,ship,1,0,0.638,0.00015685
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,111,airplane,airplane,airplane,1,1,0.955,0.000172
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,97,airplane,airplane,airplane,1,1,2.891,0.00016
claude_opus,anthropic/claude-opus-5,defocus_blur,1,90,airplane,airplane,airplane,1,1,4.228,0.000955
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,27,airplane,airplane,airplane,1,1,7.222,0.00016
kimi,moonshotai/kimi-k3,defocus_blur,1,111,airplane,truck,truck,1,0,0.822,0.00034485
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,98,airplane,airplane,airplane,1,1,2.564,0.000212
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,111,airplane,airplane,airplane,1,1,1.312,0.0002845
claude_opus,anthropic/claude-opus-5,defocus_blur,1,97,airplane,airplane,airplane,1,1,3.749,0.000855
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,116,airplane,bird,bird,1,0,0.766,8.2e-05
grok,x-ai/grok-4.3,defocus_blur,1,116,airplane,ship,ship,1,0,0.565,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,111,airplane,airplane,airplane,1,1,1.583,1.72e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,116,airplane,airplane,airplane,1,1,0.991,0.00016
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,116,airplane,airplane,airplane,1,1,0.904,0.000172
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,111,airplane,airplane,airplane,1,1,2.286,0.000212
kimi,moonshotai/kimi-k3,defocus_blur,1,97,airplane,airplane,airplane,1,1,3.349,0.0003993
kimi,moonshotai/kimi-k3,defocus_blur,1,44,airplane,airplane,airplane,1,1,7.166,0.0003993
kimi,moonshotai/kimi-k3,defocus_blur,1,52,airplane,airplane,airplane,1,1,6.14,0.0003993
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,116,airplane,airplane,airplane,1,1,1.232,1.72e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,125,airplane,bird,bird,1,0,0.745,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,116,airplane,airplane,airplane,1,1,1.204,0.0002845
claude_opus,anthropic/claude-opus-5,defocus_blur,1,98,airplane,airplane,airplane,1,1,3.475,0.000705
grok,x-ai/grok-4.3,defocus_blur,1,125,airplane,ship,ship,1,0,0.577,0.00015685
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,125,airplane,airplane,airplane,1,1,0.878,0.00016
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,125,airplane,airplane,airplane,1,1,0.937,1.72e-05
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,116,airplane,airplane,airplane,1,1,2.248,0.000212
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,153,airplane,airplane,airplane,1,1,0.797,8.2e-05
grok,x-ai/grok-4.3,defocus_blur,1,153,airplane,ship,ship,1,0,0.617,8.965e-05
kimi,moonshotai/kimi-k3,defocus_blur,1,125,airplane,airplane,airplane,1,1,1.124,0.00034485
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,125,airplane,airplane,airplane,1,1,1.269,0.0002845
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,153,airplane,automobile,automobile,1,0,0.818,1.72e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,153,airplane,cat,cat,1,0,0.952,0.00016
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,153,airplane,horse,horse,1,0,1.026,0.00015
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,125,airplane,airplane,airplane,1,1,1.772,0.000172
kimi,moonshotai/kimi-k3,defocus_blur,1,153,airplane,airplane,airplane,1,1,1.008,0.0003993
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,153,airplane,airplane,airplane,1,1,1.449,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,154,airplane,airplane,airplane,1,1,0.804,8.2e-05
grok,x-ai/grok-4.3,defocus_blur,1,154,airplane,ship,ship,1,0,0.642,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,154,airplane,airplane,airplane,1,1,0.804,1.72e-05
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,125,airplane,airplane,airplane,1,1,2.579,0.000212
claude_opus,anthropic/claude-opus-5,defocus_blur,1,111,airplane,airplane,airplane,1,1,4.417,0.00148
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,154,airplane,airplane,airplane,1,1,0.995,0.000172
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,153,airplane,airplane,airplane,1,1,2.149,0.000212
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,154,airplane,airplane,airplane,1,1,1.256,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,169,airplane,horse,horse,1,0,0.831,8.2e-05
grok,x-ai/grok-4.3,defocus_blur,1,169,airplane,ship,ship,1,0,0.59,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,169,airplane,ship,ship,1,0,0.787,1.6e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,169,airplane,ship,ship,1,0,0.909,0.00016
claude_opus,anthropic/claude-opus-5,defocus_blur,1,116,airplane,bird,bird,1,0,4.369,0.001105
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,154,airplane,airplane,airplane,1,1,1.953,0.00016
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,154,airplane,airplane,airplane,1,1,2.474,0.000212
kimi,moonshotai/kimi-k3,defocus_blur,1,154,airplane,airplane,airplane,1,1,1.993,0.00034485
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,169,airplane,deer,deer,1,0,1.322,0.0002845
claude_opus,anthropic/claude-opus-5,defocus_blur,1,125,airplane,airplane,airplane,1,1,3.924,0.001105
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,179,airplane,truck,truck,1,0,0.781,8.2e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,169,airplane,airplane,airplane,1,1,1.649,0.00016
kimi,moonshotai/kimi-k3,defocus_blur,1,169,airplane,ship,ship,1,0,1.36,0.0003306
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,179,airplane,ship,ship,1,0,0.838,0.00016
grok,x-ai/grok-4.3,defocus_blur,1,179,airplane,ship,ship,1,0,0.63,8.965e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,179,airplane,airplane,airplane,1,1,1.094,0.00016
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,169,airplane,airplane,airplane,1,1,2.249,0.000212
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,179,airplane,ship,ship,1,0,0.962,1.6e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,180,airplane,ship,ship,1,0,0.807,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,179,airplane,airplane,airplane,1,1,1.265,0.0002845
claude_opus,anthropic/claude-opus-5,defocus_blur,1,154,airplane,airplane,airplane,1,1,3.598,0.001005
claude_opus,anthropic/claude-opus-5,defocus_blur,1,153,airplane,airplane,airplane,1,1,4.097,0.001205
grok,x-ai/grok-4.3,defocus_blur,1,180,airplane,bird,bird,1,0,0.596,8.965e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,180,airplane,bird,bird,1,0,0.972,0.00016
kimi,moonshotai/kimi-k3,defocus_blur,1,179,airplane,ship,ship,1,0,1.33,0.0003306
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,180,airplane,airplane,airplane,1,1,1.338,1.72e-05
kimi,moonshotai/kimi-k3,defocus_blur,1,180,airplane,airplane,airplane,1,1,1.044,0.00034485
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,179,airplane,horse,horse,1,0,2.491,0.000202
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,180,airplane,airplane,airplane,1,1,1.39,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,189,airplane,airplane,airplane,1,1,0.808,8.2e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,189,airplane,airplane,airplane,1,1,0.771,0.000172
grok,x-ai/grok-4.3,defocus_blur,1,189,airplane,ship,ship,1,0,0.618,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,189,airplane,ship,ship,1,0,0.879,1.6e-05
kimi,moonshotai/kimi-k3,defocus_blur,1,116,airplane,airplane,airplane,1,1,6.061,0.000363
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,189,airplane,airplane,airplane,1,1,1.301,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,192,airplane,ship,ship,1,0,0.748,8.2e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,189,airplane,airplane,airplane,1,1,1.515,0.00016
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,192,airplane,ship,ship,1,0,0.81,0.00015
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,180,airplane,airplane,airplane,1,1,2.417,0.000212
claude_opus,anthropic/claude-opus-5,defocus_blur,1,179,airplane,truck,truck,1,0,3.466,0.00088
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,180,airplane,airplane,airplane,1,1,2.605,0.00016
grok,x-ai/grok-4.3,defocus_blur,1,192,airplane,ship,ship,1,0,0.937,8.965e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,98,airplane,airplane,airplane,1,1,9.082,0.00016
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,192,airplane,horse,horse,1,0,1.165,1.6e-05
kimi,moonshotai/kimi-k3,defocus_blur,1,192,airplane,ship,ship,1,0,1.045,0.0003306
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,189,airplane,airplane,airplane,1,1,2.488,0.000212
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,192,airplane,ship,ship,1,0,1.25,0.0002845
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,192,airplane,ship,ship,1,0,1.389,0.00016
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,206,airplane,airplane,airplane,1,1,0.854,8.2e-05
grok,x-ai/grok-4.3,defocus_blur,1,206,airplane,bird,bird,1,0,0.599,8.965e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,206,airplane,airplane,airplane,1,1,0.971,0.00016
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,192,airplane,ship,ship,1,0,2.103,0.000202
kimi,moonshotai/kimi-k3,defocus_blur,1,189,airplane,airplane,airplane,1,1,2.309,0.00034485
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,215,airplane,bird,bird,1,0,0.721,8.2e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,206,airplane,airplane,airplane,1,1,1.294,0.000172
kimi,moonshotai/kimi-k3,defocus_blur,1,206,airplane,airplane,airplane,1,1,1.153,0.00034485
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,206,airplane,airplane,airplane,1,1,1.49,1.72e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,206,airplane,airplane,airplane,1,1,1.328,0.0002845
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,215,airplane,airplane,airplane,1,1,0.82,1.72e-05
grok,x-ai/grok-4.3,defocus_blur,1,215,airplane,ship,ship,1,0,0.672,8.965e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,215,airplane,airplane,airplane,1,1,1.121,0.00016
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,215,airplane,airplane,airplane,1,1,1.054,0.000172
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,206,airplane,dog,dog,1,0,2.129,0.000202
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,235,airplane,airplane,airplane,1,1,0.789,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,215,airplane,airplane,airplane,1,1,1.226,0.0002845
claude_opus,anthropic/claude-opus-5,defocus_blur,1,189,airplane,airplane,airplane,1,1,4.191,0.00128
grok,x-ai/grok-4.3,defocus_blur,1,235,airplane,ship,ship,1,0,0.624,8.965e-05
claude_opus,anthropic/claude-opus-5,defocus_blur,1,169,airplane,airplane,airplane,1,1,6.632,0.00188
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,235,airplane,airplane,airplane,1,1,0.798,0.000172
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,235,airplane,airplane,airplane,1,1,0.923,0.00016
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,235,airplane,airplane,airplane,1,1,1.2,1.72e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,237,airplane,horse,horse,1,0,0.759,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,235,airplane,airplane,airplane,1,1,1.314,0.0002845
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,237,airplane,automobile,automobile,1,0,0.795,0.000172
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,215,airplane,airplane,airplane,1,1,2.525,0.000212
grok,x-ai/grok-4.3,defocus_blur,1,237,airplane,ship,ship,1,0,0.718,8.965e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,237,airplane,truck,truck,1,0,1.005,0.00015
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,237,airplane,truck,truck,1,0,0.868,1.6e-05
claude_opus,anthropic/claude-opus-5,defocus_blur,1,192,airplane,ship,ship,1,0,4.257,0.001105
kimi,moonshotai/kimi-k3,defocus_blur,1,215,airplane,airplane,airplane,1,1,2.3,0.00034485
kimi,moonshotai/kimi-k3,defocus_blur,1,235,airplane,airplane,airplane,1,1,1.828,0.00034485
kimi,moonshotai/kimi-k3,defocus_blur,1,237,airplane,truck,truck,1,0,1.142,0.00034485
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,237,airplane,ship,ship,1,0,1.287,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,235,airplane,airplane,airplane,1,1,2.413,0.000212
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,244,airplane,airplane,airplane,1,1,0.799,8.2e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,244,airplane,airplane,airplane,1,1,0.741,0.000172
grok,x-ai/grok-4.3,defocus_blur,1,244,airplane,bird,bird,1,0,0.669,8.965e-05
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,244,airplane,airplane,airplane,1,1,0.912,1.72e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,244,airplane,airplane,airplane,1,1,1.111,0.00016
claude_opus,anthropic/claude-opus-5,defocus_blur,1,206,airplane,airplane,airplane,1,1,4.352,0.000955
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,237,airplane,dog,dog,1,0,2.137,0.000202
grok,x-ai/grok-4.3,defocus_blur,1,255,airplane,ship,ship,1,0,0.595,8.965e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,255,airplane,horse,horse,1,0,0.841,8.2e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,255,airplane,airplane,airplane,1,1,0.847,0.00016
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,255,airplane,airplane,airplane,1,1,0.97,0.000172
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,244,airplane,airplane,airplane,1,1,1.514,0.0002845
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,255,airplane,ship,ship,1,0,1.09,1.6e-05
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,257,airplane,airplane,airplane,1,1,0.811,8.2e-05
claude_opus,anthropic/claude-opus-5,defocus_blur,1,235,airplane,airplane,airplane,1,1,3.823,0.000955
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,255,airplane,airplane,airplane,1,1,1.242,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,244,airplane,airplane,airplane,1,1,2.442,0.000212
claude_opus,anthropic/claude-opus-5,defocus_blur,1,215,airplane,bird,bird,1,0,4.924,0.001655
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,257,airplane,airplane,airplane,1,1,0.908,0.000172
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,257,airplane,airplane,airplane,1,1,0.881,1.72e-05
claude_opus,anthropic/claude-opus-5,defocus_blur,1,180,airplane,airplane,airplane,1,1,7.882,0.000855
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,255,airplane,ship,ship,1,0,2.214,0.000202
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,257,airplane,airplane,airplane,1,1,1.291,0.00016
claude_opus,anthropic/claude-opus-5,defocus_blur,1,237,airplane,dog,dog,1,0,4.23,0.00218
grok,x-ai/grok-4.3,defocus_blur,1,257,airplane,ship,ship,1,0,1.258,8.965e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,257,airplane,airplane,airplane,1,1,1.375,0.0002845
grok,x-ai/grok-4.3,defocus_blur,1,258,airplane,ship,ship,1,0,0.628,0.00015685
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,258,airplane,truck,truck,1,0,1.174,8.2e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,258,airplane,airplane,airplane,1,1,0.875,0.000172
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,258,airplane,airplane,airplane,1,1,0.877,1.72e-05
gpt_sol,openai/gpt-5.6-sol,defocus_blur,1,258,airplane,airplane,airplane,1,1,1.009,0.00016
claude_sonnet,anthropic/claude-sonnet-5,defocus_blur,1,257,airplane,airplane,airplane,1,1,2.209,0.000212
claude_haiku,anthropic/claude-haiku-4.5,defocus_blur,1,264,airplane,airplane,airplane,1,1,0.806,8.2e-05
gemini,google/gemini-3.1-flash-lite,defocus_blur,1,258,airplane,airplane,airplane,1,1,1.353,0.0002845
grok,x-ai/grok-4.3,defocus_blur,1,264,airplane,ship,ship,1,0,0.657,8.965e-05
gpt_terra,openai/gpt-5.6-terra,defocus_blur,1,264,airplane,airplane,airplane,1,1,0.833,0.000172
gpt_luna,openai/gpt-5.6-luna,defocus_blur,1,264,airplane,airplane,airplane,1,1,0.756,1.72e-05
