model,model_id,blur_type,severity,image_id,true_label,raw_response,prediction,valid_response,correct,latency_seconds,cost_usd
claude_opus,anthropic/claude-opus-5,motion_blur,1,1022,airplane,airplane,airplane,1,1,3.455,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,928,airplane,airplane,airplane,1,1,4.103,0.00158
claude_opus,anthropic/claude-opus-5,motion_blur,1,929,airplane,ship,ship,1,0,4.031,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,1018,airplane,airplane,airplane,1,1,3.755,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1023,airplane,airplane,airplane,1,1,3.72,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,886,airplane,airplane,airplane,1,1,4.565,0.00138
claude_opus,anthropic/claude-opus-5,motion_blur,1,1001,airplane,airplane,airplane,1,1,3.967,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,1072,airplane,airplane,airplane,1,1,3.61,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,1026,airplane,airplane,airplane,1,1,3.867,0.001355
claude_opus,anthropic/claude-opus-5,motion_blur,1,956,airplane,bird,bird,1,0,4.345,0.00158
claude_opus,anthropic/claude-opus-5,motion_blur,1,1052,airplane,airplane,airplane,1,1,3.936,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,1077,airplane,airplane,airplane,1,1,3.736,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,912,airplane,airplane,airplane,1,1,4.782,0.00228
claude_opus,anthropic/claude-opus-5,motion_blur,1,989,airplane,automobile,automobile,1,0,4.52,0.00153
claude_opus,anthropic/claude-opus-5,motion_blur,1,1078,airplane,airplane,airplane,1,1,3.67,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,1027,airplane,airplane,airplane,1,1,4.296,0.001305
claude_opus,anthropic/claude-opus-5,motion_blur,1,1076,airplane,airplane,airplane,1,1,4.199,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,982,airplane,bird,bird,1,0,4.969,0.00188
claude_opus,anthropic/claude-opus-5,motion_blur,1,1067,airplane,bird,bird,1,0,4.48,0.001155
claude_opus,anthropic/claude-opus-5,motion_blur,1,1093,airplane,airplane,airplane,1,1,4.02,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,1090,airplane,ship,ship,1,0,4.253,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1036,airplane,ship,ship,1,0,4.858,0.002155
claude_opus,anthropic/claude-opus-5,motion_blur,1,1237,airplane,ship,ship,1,0,2.154,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,1103,airplane,ship,ship,1,0,4.703,0.002055
claude_opus,anthropic/claude-opus-5,motion_blur,1,1109,airplane,airplane,airplane,1,1,4.629,0.001555
claude_opus,anthropic/claude-opus-5,motion_blur,1,1183,airplane,airplane,airplane,1,1,3.559,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1161,airplane,airplane,airplane,1,1,3.911,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,82,automobile,automobile,automobile,1,1,2.094,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,1310,airplane,airplane,airplane,1,1,2.926,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,1189,airplane,airplane,airplane,1,1,3.707,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,1188,airplane,airplane,airplane,1,1,3.899,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,1203,airplane,airplane,airplane,1,1,3.831,0.00103
claude_opus,anthropic/claude-opus-5,motion_blur,1,1197,airplane,bird,bird,1,0,3.919,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,1137,airplane,cat,cat,1,0,4.795,0.00138
claude_opus,anthropic/claude-opus-5,motion_blur,1,1295,airplane,airplane,airplane,1,1,3.482,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,1210,airplane,airplane,airplane,1,1,4.022,0.00103
claude_opus,anthropic/claude-opus-5,motion_blur,1,1152,airplane,airplane,airplane,1,1,4.842,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,231,automobile,ship,ship,1,0,2.094,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,1266,airplane,airplane,airplane,1,1,4.027,0.00103
claude_opus,anthropic/claude-opus-5,motion_blur,1,1343,airplane,airplane,airplane,1,1,3.584,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1323,airplane,airplane,airplane,1,1,3.665,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1319,airplane,airplane,airplane,1,1,3.908,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,66,automobile,automobile,automobile,1,1,3.543,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,114,automobile,automobile,automobile,1,1,3.412,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,1241,airplane,ship,ship,1,0,4.546,0.001455
claude_opus,anthropic/claude-opus-5,motion_blur,1,105,automobile,automobile,automobile,1,1,3.572,0.000705
claude_opus,anthropic/claude-opus-5,motion_blur,1,37,automobile,automobile,automobile,1,1,3.87,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,104,automobile,automobile,automobile,1,1,3.665,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1165,airplane,airplane,airplane,1,1,5.515,0.001055
claude_opus,anthropic/claude-opus-5,motion_blur,1,134,automobile,automobile,automobile,1,1,3.501,0.00073
claude_opus,anthropic/claude-opus-5,motion_blur,1,1322,airplane,airplane,airplane,1,1,4.346,0.001455
claude_opus,anthropic/claude-opus-5,motion_blur,1,122,automobile,automobile,automobile,1,1,3.696,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,131,automobile,automobile,automobile,1,1,3.68,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,9,automobile,automobile,automobile,1,1,4.255,0.001655
claude_opus,anthropic/claude-opus-5,motion_blur,1,283,automobile,automobile,automobile,1,1,2.36,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,81,automobile,automobile,automobile,1,1,4.125,0.001205
claude_opus,anthropic/claude-opus-5,motion_blur,1,6,automobile,airplane,airplane,1,0,4.411,0.00148
claude_opus,anthropic/claude-opus-5,motion_blur,1,161,automobile,automobile,automobile,1,1,3.879,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,204,automobile,automobile,automobile,1,1,3.864,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,240,automobile,automobile,automobile,1,1,3.718,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,193,automobile,automobile,automobile,1,1,4.124,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,246,automobile,automobile,automobile,1,1,3.956,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,201,automobile,airplane,airplane,1,0,4.328,0.00143
claude_opus,anthropic/claude-opus-5,motion_blur,1,261,automobile,automobile,automobile,1,1,3.879,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,493,automobile,automobile,automobile,1,1,2.152,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,494,automobile,automobile,automobile,1,1,2.032,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,351,automobile,automobile,automobile,1,1,3.286,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,286,automobile,automobile,automobile,1,1,3.862,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,290,automobile,automobile,automobile,1,1,3.752,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,241,automobile,automobile,automobile,1,1,4.823,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,308,automobile,automobile,automobile,1,1,3.773,0.00128
claude_opus,anthropic/claude-opus-5,motion_blur,1,366,automobile,ship,ship,1,0,3.566,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,414,automobile,automobile,automobile,1,1,3.428,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,330,automobile,automobile,automobile,1,1,3.998,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,645,automobile,truck,truck,1,0,2.45,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,363,automobile,automobile,automobile,1,1,3.987,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,659,automobile,automobile,automobile,1,1,2.388,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,619,automobile,ship,ship,1,0,2.743,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,390,automobile,automobile,automobile,1,1,3.789,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,369,automobile,automobile,automobile,1,1,4.1,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,325,automobile,cat,cat,1,0,4.569,0.001255
claude_opus,anthropic/claude-opus-5,motion_blur,1,407,automobile,automobile,automobile,1,1,4.065,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,305,automobile,automobile,automobile,1,1,4.937,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,490,automobile,automobile,automobile,1,1,3.755,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,513,automobile,automobile,automobile,1,1,3.481,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,540,automobile,automobile,automobile,1,1,3.583,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,462,automobile,automobile,automobile,1,1,4.278,0.00133
claude_opus,anthropic/claude-opus-5,motion_blur,1,622,automobile,automobile,automobile,1,1,3.66,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,546,automobile,automobile,automobile,1,1,3.967,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,439,automobile,cat,cat,1,0,4.585,0.00193
claude_opus,anthropic/claude-opus-5,motion_blur,1,668,automobile,automobile,automobile,1,1,3.455,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,604,automobile,automobile,automobile,1,1,4.009,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,572,automobile,automobile,automobile,1,1,4.192,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,781,automobile,automobile,automobile,1,1,2.091,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,657,automobile,automobile,automobile,1,1,3.907,0.001055
claude_opus,anthropic/claude-opus-5,motion_blur,1,440,automobile,automobile,automobile,1,1,4.881,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,656,automobile,automobile,automobile,1,1,4.026,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,830,automobile,automobile,automobile,1,1,2.391,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,594,automobile,automobile,automobile,1,1,4.703,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,723,automobile,automobile,automobile,1,1,3.811,0.001155
claude_opus,anthropic/claude-opus-5,motion_blur,1,738,automobile,automobile,automobile,1,1,3.416,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,871,automobile,automobile,automobile,1,1,2.058,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,726,automobile,automobile,automobile,1,1,3.854,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,629,automobile,automobile,automobile,1,1,4.61,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,677,automobile,cat,cat,1,0,4.319,0.001555
claude_opus,anthropic/claude-opus-5,motion_blur,1,771,automobile,automobile,automobile,1,1,3.381,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,947,automobile,automobile,automobile,1,1,2.095,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,801,automobile,automobile,automobile,1,1,3.602,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,736,automobile,automobile,automobile,1,1,4.435,0.00123
claude_opus,anthropic/claude-opus-5,motion_blur,1,759,automobile,automobile,automobile,1,1,4.044,0.00118
claude_opus,anthropic/claude-opus-5,motion_blur,1,764,automobile,automobile,automobile,1,1,4.012,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,796,automobile,automobile,automobile,1,1,4.088,0.001005
claude_opus,anthropic/claude-opus-5,motion_blur,1,844,automobile,automobile,automobile,1,1,3.6,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,869,automobile,automobile,automobile,1,1,3.808,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,836,automobile,truck,truck,1,0,4.128,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,1013,automobile,ship,ship,1,0,2.387,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,895,automobile,truck,truck,1,0,3.825,0.00118
claude_opus,anthropic/claude-opus-5,motion_blur,1,894,automobile,automobile,automobile,1,1,3.95,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,753,automobile,truck,truck,1,0,5.148,0.00163
claude_opus,anthropic/claude-opus-5,motion_blur,1,906,automobile,automobile,automobile,1,1,3.758,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,941,automobile,automobile,automobile,1,1,3.769,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,962,automobile,automobile,automobile,1,1,3.667,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,887,automobile,automobile,automobile,1,1,4.367,0.000905
claude_opus,anthropic/claude-opus-5,motion_blur,1,953,automobile,automobile,automobile,1,1,4.107,0.001355
claude_opus,anthropic/claude-opus-5,motion_blur,1,865,automobile,automobile,automobile,1,1,4.8,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,961,automobile,automobile,automobile,1,1,4.069,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,973,automobile,automobile,automobile,1,1,3.732,0.00093
claude_opus,anthropic/claude-opus-5,motion_blur,1,915,automobile,automobile,automobile,1,1,4.529,0.00108
claude_opus,anthropic/claude-opus-5,motion_blur,1,1005,automobile,automobile,automobile,1,1,3.502,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,1006,automobile,automobile,automobile,1,1,3.514,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,997,automobile,automobile,automobile,1,1,3.641,0.00088
claude_opus,anthropic/claude-opus-5,motion_blur,1,1156,automobile,ship,ship,1,0,2.077,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,968,automobile,automobile,automobile,1,1,4.007,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,978,automobile,automobile,automobile,1,1,4.066,0.001105
claude_opus,anthropic/claude-opus-5,motion_blur,1,987,automobile,automobile,automobile,1,1,4.116,0.00133
claude_opus,anthropic/claude-opus-5,motion_blur,1,1020,automobile,automobile,automobile,1,1,3.774,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,1016,automobile,automobile,automobile,1,1,3.849,0.000705
claude_opus,anthropic/claude-opus-5,motion_blur,1,990,automobile,automobile,automobile,1,1,4.285,0.00098
claude_opus,anthropic/claude-opus-5,motion_blur,1,1098,automobile,automobile,automobile,1,1,3.538,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,1047,automobile,automobile,automobile,1,1,3.736,0.00083
claude_opus,anthropic/claude-opus-5,motion_blur,1,1115,automobile,automobile,automobile,1,1,3.613,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,1141,automobile,automobile,automobile,1,1,3.136,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,1131,automobile,automobile,automobile,1,1,3.432,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,1021,automobile,automobile,automobile,1,1,4.252,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,1182,automobile,automobile,automobile,1,1,2.772,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,1048,automobile,automobile,automobile,1,1,4.304,0.00148
claude_opus,anthropic/claude-opus-5,motion_blur,1,1054,automobile,automobile,automobile,1,1,4.394,0.000955
claude_opus,anthropic/claude-opus-5,motion_blur,1,1061,automobile,truck,truck,1,0,4.325,0.00153
claude_opus,anthropic/claude-opus-5,motion_blur,1,1229,automobile,automobile,automobile,1,1,2.359,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,1134,automobile,truck,truck,1,0,3.861,0.00113
claude_opus,anthropic/claude-opus-5,motion_blur,1,1158,automobile,automobile,automobile,1,1,3.746,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,1313,automobile,frog,frog,1,0,2.099,0.000505
claude_opus,anthropic/claude-opus-5,motion_blur,1,1206,automobile,automobile,automobile,1,1,3.069,0.000755
claude_opus,anthropic/claude-opus-5,motion_blur,1,1306,automobile,automobile,automobile,1,1,2.223,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,1288,automobile,automobile,automobile,1,1,2.336,0.00053
claude_opus,anthropic/claude-opus-5,motion_blur,1,1176,automobile,automobile,automobile,1,1,3.792,0.000855
claude_opus,anthropic/claude-opus-5,motion_blur,1,1190,automobile,automobile,automobile,1,1,3.618,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,1234,automobile,automobile,automobile,1,1,3.406,0.00078
claude_opus,anthropic/claude-opus-5,motion_blur,1,1232,automobile,automobile,automobile,1,1,3.745,0.00113
claude_opus,anthropic/claude-opus-5,motion_blur,1,1301,automobile,automobile,automobile,1,1,3.207,0.000805
claude_opus,anthropic/claude-opus-5,motion_blur,1,1260,automobile,automobile,automobile,1,1,3.417,0.00098
