model,model_id,blur_type,severity,image_id,true_label,raw_response,prediction,valid_response,correct,latency_seconds,cost_usd
grok,x-ai/grok-4.3,glass_blur,1,116,airplane,ship,ship,1,0,0.578,0.00015685
gemini,google/gemini-3.1-flash-lite,glass_blur,1,111,airplane,airplane,airplane,1,1,1.216,0.0002845
claude_opus,anthropic/claude-opus-5,glass_blur,1,74,airplane,deer,deer,1,0,4.736,0.001155
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,116,airplane,bird,bird,1,0,0.989,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,98,airplane,airplane,airplane,1,1,2.438,0.000212
claude_opus,anthropic/claude-opus-5,glass_blur,1,97,airplane,airplane,airplane,1,1,3.819,0.000855
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,116,airplane,airplane,airplane,1,1,1.286,1.72e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,125,airplane,bird,bird,1,0,0.898,8.2e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,116,airplane,airplane,airplane,1,1,1.622,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,111,airplane,frog,frog,1,0,2.475,0.000202
gemini,google/gemini-3.1-flash-lite,glass_blur,1,116,airplane,airplane,airplane,1,1,1.423,0.0002845
grok,x-ai/grok-4.3,glass_blur,1,125,airplane,ship,ship,1,0,0.598,8.965e-05
kimi,moonshotai/kimi-k3,glass_blur,1,116,airplane,airplane,airplane,1,1,1.36,0.00034485
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,125,airplane,airplane,airplane,1,1,0.846,1.72e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,125,airplane,frog,frog,1,0,0.895,0.00016
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,125,airplane,bird,bird,1,0,1.067,0.00015
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,116,airplane,airplane,airplane,1,1,2.326,0.000212
claude_opus,anthropic/claude-opus-5,glass_blur,1,90,airplane,bird,bird,1,0,5.249,0.002055
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,153,airplane,bird,bird,1,0,0.778,8.2e-05
grok,x-ai/grok-4.3,glass_blur,1,153,airplane,bird,bird,1,0,0.616,8.965e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,125,airplane,truck,truck,1,0,1.468,0.0002845
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,153,airplane,frog,frog,1,0,0.834,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,153,airplane,cat,cat,1,0,0.901,1.6e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,111,airplane,airplane,airplane,1,1,3.3,1.72e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,153,airplane,horse,horse,1,0,1.354,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,154,airplane,airplane,airplane,1,1,0.829,8.2e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,154,airplane,airplane,airplane,1,1,0.816,1.72e-05
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,125,airplane,airplane,airplane,1,1,2.666,0.000212
grok,x-ai/grok-4.3,glass_blur,1,154,airplane,airplane,airplane,1,1,0.741,0.00015935
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,154,airplane,airplane,airplane,1,1,1.041,0.000172
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,153,airplane,horse,horse,1,0,1.953,0.00015
claude_opus,anthropic/claude-opus-5,glass_blur,1,111,airplane,ship,ship,1,0,4.574,0.00183
claude_opus,anthropic/claude-opus-5,glass_blur,1,98,airplane,frog,frog,1,0,5.183,0.00213
gemini,google/gemini-3.1-flash-lite,glass_blur,1,154,airplane,airplane,airplane,1,1,1.375,0.0002845
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,154,airplane,airplane,airplane,1,1,1.535,0.00016
claude_opus,anthropic/claude-opus-5,glass_blur,1,116,airplane,airplane,airplane,1,1,4.117,0.001155
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,153,airplane,horse,horse,1,0,2.438,0.000202
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,169,airplane,horse,horse,1,0,0.855,8.2e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,169,airplane,frog,frog,1,0,0.861,0.00016
grok,x-ai/grok-4.3,glass_blur,1,169,airplane,ship,ship,1,0,0.542,8.965e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,169,airplane,ship,ship,1,0,0.958,1.6e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,179,airplane,ship,ship,1,0,0.802,8.2e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,169,airplane,deer,deer,1,0,1.608,0.00016
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,179,airplane,frog,frog,1,0,0.782,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,154,airplane,airplane,airplane,1,1,2.742,0.000212
gemini,google/gemini-3.1-flash-lite,glass_blur,1,169,airplane,airplane,airplane,1,1,1.47,0.0002845
grok,x-ai/grok-4.3,glass_blur,1,179,airplane,ship,ship,1,0,0.722,8.965e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,125,airplane,bird,bird,1,0,4.873,0.00168
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,179,airplane,airplane,airplane,1,1,1.144,1.72e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,179,airplane,airplane,airplane,1,1,1.377,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,169,airplane,horse,horse,1,0,2.446,0.000202
gemini,google/gemini-3.1-flash-lite,glass_blur,1,179,airplane,ship,ship,1,0,1.413,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,180,airplane,bird,bird,1,0,0.8,8.2e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,180,airplane,frog,frog,1,0,0.869,0.00016
claude_opus,anthropic/claude-opus-5,glass_blur,1,153,airplane,horse,horse,1,0,4.526,0.001305
grok,x-ai/grok-4.3,glass_blur,1,180,airplane,ship,ship,1,0,0.705,8.965e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,180,airplane,bird,bird,1,0,0.962,1.6e-05
kimi,moonshotai/kimi-k3,glass_blur,1,180,airplane,bird,bird,1,0,0.801,0.0003306
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,189,airplane,airplane,airplane,1,1,1.138,8.2e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,189,airplane,airplane,airplane,1,1,1.22,1.72e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,180,airplane,airplane,airplane,1,1,1.254,0.0002845
kimi,moonshotai/kimi-k3,glass_blur,1,125,airplane,airplane,airplane,1,1,1.294,0.00034485
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,189,airplane,ship,ship,1,0,1.573,0.00015
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,180,airplane,airplane,airplane,1,1,1.63,0.00016
grok,x-ai/grok-4.3,glass_blur,1,189,airplane,ship,ship,1,0,0.575,8.965e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,189,airplane,ship,ship,1,0,1.254,0.0002845
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,189,airplane,frog,frog,1,0,2.303,0.00016
kimi,moonshotai/kimi-k3,glass_blur,1,154,airplane,airplane,airplane,1,1,2.336,0.0002451
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,192,airplane,ship,ship,1,0,0.767,8.2e-05
kimi,moonshotai/kimi-k3,glass_blur,1,169,airplane,deer,deer,1,0,2.342,0.000384
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,192,airplane,ship,ship,1,0,0.756,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,189,airplane,airplane,airplane,1,1,2.561,0.000212
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,192,airplane,airplane,airplane,1,1,1.009,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,180,airplane,frog,frog,1,0,2.764,0.000202
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,179,airplane,ship,ship,1,0,2.807,0.000202
grok,x-ai/grok-4.3,glass_blur,1,192,airplane,ship,ship,1,0,0.59,8.965e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,192,airplane,bird,bird,1,0,0.908,1.6e-05
kimi,moonshotai/kimi-k3,glass_blur,1,153,airplane,frog,frog,1,0,3.159,0.000384
kimi,moonshotai/kimi-k3,glass_blur,1,179,airplane,airplane,airplane,1,1,3.21,0.000399
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,206,airplane,airplane,airplane,1,1,0.849,0.00016
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,206,airplane,ship,ship,1,0,0.988,8.2e-05
grok,x-ai/grok-4.3,glass_blur,1,206,airplane,ship,ship,1,0,0.631,8.965e-05
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,192,airplane,horse,horse,1,0,2.358,0.000202
gemini,google/gemini-3.1-flash-lite,glass_blur,1,192,airplane,ship,ship,1,0,1.427,0.0002845
claude_opus,anthropic/claude-opus-5,glass_blur,1,180,airplane,airplane,airplane,1,1,3.943,0.00173
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,206,airplane,airplane,airplane,1,1,1.149,1.72e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,206,airplane,airplane,airplane,1,1,1.32,0.000172
claude_opus,anthropic/claude-opus-5,glass_blur,1,169,airplane,deer,deer,1,0,4.386,0.001405
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,215,airplane,bird,bird,1,0,0.705,1.6e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,206,airplane,airplane,airplane,1,1,1.535,0.0002845
grok,x-ai/grok-4.3,glass_blur,1,215,airplane,bird,bird,1,0,0.533,8.965e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,179,airplane,ship,ship,1,0,4.499,0.001555
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,215,airplane,bird,bird,1,0,0.939,0.00016
claude_opus,anthropic/claude-opus-5,glass_blur,1,189,airplane,airplane,airplane,1,1,4.625,0.001105
claude_opus,anthropic/claude-opus-5,glass_blur,1,154,airplane,airplane,airplane,1,1,4.67,0.00098
claude_opus,anthropic/claude-opus-5,glass_blur,1,192,airplane,ship,ship,1,0,3.585,0.00103
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,206,airplane,airplane,airplane,1,1,2.458,0.000212
kimi,moonshotai/kimi-k3,glass_blur,1,189,airplane,ship,ship,1,0,3.722,0.000384
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,215,airplane,bird,bird,1,0,1.414,8.2e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,235,airplane,airplane,airplane,1,1,0.712,0.000172
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,215,airplane,airplane,airplane,1,1,1.615,0.00016
grok,x-ai/grok-4.3,glass_blur,1,235,airplane,ship,ship,1,0,0.549,8.965e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,235,airplane,airplane,airplane,1,1,0.795,8.2e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,215,airplane,airplane,airplane,1,1,1.443,0.0002845
kimi,moonshotai/kimi-k3,glass_blur,1,192,airplane,ship,ship,1,0,3.186,0.000384
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,235,airplane,airplane,airplane,1,1,0.953,1.72e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,237,airplane,bird,bird,1,0,0.761,8.2e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,235,airplane,airplane,airplane,1,1,1.222,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,215,airplane,dog,dog,1,0,2.453,0.000202
grok,x-ai/grok-4.3,glass_blur,1,237,airplane,ship,ship,1,0,0.656,8.965e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,235,airplane,airplane,airplane,1,1,1.559,0.00016
claude_opus,anthropic/claude-opus-5,glass_blur,1,206,airplane,airplane,airplane,1,1,3.761,0.00093
kimi,moonshotai/kimi-k3,glass_blur,1,206,airplane,airplane,airplane,1,1,2.988,0.000399
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,237,airplane,cat,cat,1,0,1.022,1.6e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,237,airplane,frog,frog,1,0,1.038,0.00016
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,237,airplane,horse,horse,1,0,1.078,0.00015
gemini,google/gemini-3.1-flash-lite,glass_blur,1,237,airplane,bird,bird,1,0,1.337,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,244,airplane,airplane,airplane,1,1,0.873,8.2e-05
grok,x-ai/grok-4.3,glass_blur,1,244,airplane,ship,ship,1,0,0.622,8.965e-05
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,235,airplane,airplane,airplane,1,1,2.372,0.000212
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,244,airplane,airplane,airplane,1,1,0.921,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,244,airplane,airplane,airplane,1,1,0.876,1.72e-05
kimi,moonshotai/kimi-k3,glass_blur,1,215,airplane,airplane,airplane,1,1,2.968,0.000399
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,244,airplane,airplane,airplane,1,1,1.069,0.000172
kimi,moonshotai/kimi-k3,glass_blur,1,235,airplane,airplane,airplane,1,1,2.373,0.000399
gemini,google/gemini-3.1-flash-lite,glass_blur,1,244,airplane,airplane,airplane,1,1,1.126,0.0002845
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,237,airplane,frog,frog,1,0,2.314,0.000202
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,255,airplane,horse,horse,1,0,0.748,8.2e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,215,airplane,bird,bird,1,0,4.271,0.00148
grok,x-ai/grok-4.3,glass_blur,1,255,airplane,ship,ship,1,0,0.609,8.965e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,255,airplane,frog,frog,1,0,0.77,1.6e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,255,airplane,airplane,airplane,1,1,1.021,0.000172
kimi,moonshotai/kimi-k3,glass_blur,1,237,airplane,deer,deer,1,0,2.395,0.000384
grok,x-ai/grok-4.3,glass_blur,1,257,airplane,ship,ship,1,0,0.537,0.00015685
gemini,google/gemini-3.1-flash-lite,glass_blur,1,255,airplane,horse,horse,1,0,1.306,0.0002845
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,257,airplane,airplane,airplane,1,1,0.935,0.000172
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,244,airplane,bird,bird,1,0,2.571,0.000202
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,257,airplane,airplane,airplane,1,1,1.069,0.00016
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,255,airplane,automobile,automobile,1,0,2.306,0.000212
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,255,airplane,airplane,airplane,1,1,1.897,0.00016
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,257,airplane,ship,ship,1,0,1.236,1.6e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,257,airplane,airplane,airplane,1,1,1.311,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,258,airplane,ship,ship,1,0,0.786,8.2e-05
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,257,airplane,airplane,airplane,1,1,1.816,8.2e-05
claude_opus,anthropic/claude-opus-5,glass_blur,1,235,airplane,airplane,airplane,1,1,4.737,0.00093
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,258,airplane,airplane,airplane,1,1,0.985,1.72e-05
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,258,airplane,deer,deer,1,0,1.114,0.00016
claude_opus,anthropic/claude-opus-5,glass_blur,1,237,airplane,horse,horse,1,0,4.482,0.00148
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,257,airplane,horse,horse,1,0,2.373,0.000202
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,258,airplane,ship,ship,1,0,1.409,0.00016
gemini,google/gemini-3.1-flash-lite,glass_blur,1,258,airplane,ship,ship,1,0,1.144,0.0002845
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,264,airplane,ship,ship,1,0,0.779,8.2e-05
grok,x-ai/grok-4.3,glass_blur,1,258,airplane,ship,ship,1,0,1.228,8.965e-05
grok,x-ai/grok-4.3,glass_blur,1,264,airplane,ship,ship,1,0,0.501,8.965e-05
gpt_luna,openai/gpt-5.6-luna,glass_blur,1,264,airplane,airplane,airplane,1,1,0.697,1.72e-05
gpt_terra,openai/gpt-5.6-terra,glass_blur,1,264,airplane,airplane,airplane,1,1,0.782,0.000172
claude_opus,anthropic/claude-opus-5,glass_blur,1,244,airplane,airplane,airplane,1,1,4.63,0.001505
claude_opus,anthropic/claude-opus-5,glass_blur,1,255,airplane,ship,ship,1,0,3.927,0.00108
claude_sonnet,anthropic/claude-sonnet-5,glass_blur,1,258,airplane,ship,ship,1,0,2.258,0.000202
gpt_sol,openai/gpt-5.6-sol,glass_blur,1,264,airplane,airplane,airplane,1,1,1.475,0.00016
claude_haiku,anthropic/claude-haiku-4.5,glass_blur,1,269,airplane,dog,dog,1,0,0.832,8.2e-05
gemini,google/gemini-3.1-flash-lite,glass_blur,1,264,airplane,truck,truck,1,0,1.328,0.0002845
